Wire length data points,,Min Fitness ,Ave Fitness,Max Fitness
147.2242135,,,,
122.6257475,,,,
79.08521016,,,,
110.0365623,,,,
103.868925,,,,
112.9925113,,,,
97.78006872,,,,
103.3008609,,,,
94.1853766,,,,
131.9805061,,,,
99.41024746,,,,
125.3048293,,,,
95.24570277,,,,
112.1551628,,,,
134.2864056,,,,
105.9311378,,,,
96.44579362,,,,
118.6284185,,,,
134.4752054,,,,
105.7868708,,,,
139.9456442,,,,
99.70292771,,,,
106.3534778,,,,
143.0080298,,,,
89.45155493,,,,
178.1977686,,,,
78.03350355,,,,
108.99315,,,,
69.75638193,,,,
76.39249402,,,,
81.26327132,,,,
121.2527417,,,,
110.6056878,,,,
91.0528575,,,,
119.5552806,,,,
142.4559637,,,,
91.92630136,,,,
128.0414054,,,,
110.0056241,,,,
135.7542295,,,,
122.082923,,,,
150.791867,,,,
116.5788477,,,,
105.6219476,,,,
119.2821418,,,,
104.3423551,,,,
144.4381606,,,,
108.3539144,,,,
164.1517594,,,,
109.6937128,,,,
142.3987037,,,,
142.3997607,,,,
115.9470988,,,,
123.4130094,,,,
119.7481354,,,,
115.6984702,,,,
119.4687211,,,,
95.04677615,,,,
151.3515653,,,,
111.6427944,,,,
149.630841,,,,
127.9319244,,,,
103.5813717,,,,
125.2346684,,,,
105.9359731,,,,
133.506647,,,,
132.1440236,,,,
141.8976507,,,,
119.8507365,,,,
85.22259985,,,,
146.1869932,,,,
120.630688,,,,
121.8253141,,,,
88.6695378,,,,
111.4693582,,,,
108.8420492,,,,
145.1487318,,,,
118.8709445,,,,
144.5621482,,,,
92.01441238,,,,
136.6130272,,,,
114.5536351,,,,
103.3936041,,,,
109.6741044,,,,
128.2044193,,,,
119.922792,,,,
90.96340672,,,,
124.6870452,,,,
95.04216738,,,,
108.1761267,,,,
77.73089435,,,,
113.699945,,,,
122.1203333,,,,
136.9908347,,,,
126.8780511,,,,
135.8884628,,,,
99.63027495,,,,
88.41411083,,,,
110.6573368,,,,
121.9576466,,,,
107.553546,,,,
125.8484931,,,,
120.1259168,,,,
137.5608489,,,,
124.1423962,,,,
131.7862485,,,,
156.8699928,,,,
140.1196638,,,,
104.3664747,,,,
97.13408834,,,,
122.567459,,,,
137.7343782,,,,
131.897447,,,,
120.7564101,,,,
105.2555413,,,,
115.9856953,,,,
119.6401503,,,,
100.0008516,,,,
146.4809534,,,,
93.29651153,,,,
105.2808352,,,,
87.39628708,,,,
130.2732167,,,,
131.6824027,,,,
122.7839275,,,,
122.5273245,,,,
117.408366,,,,
101.0789373,,,,
107.4837777,,,,
87.03094706,,,,
119.9174013,,,,
79.66007294,,,,
90.49680349,,,,
131.2882532,,,,
98.42124281,,,,
103.0093346,,,,
104.6267903,,,,
119.6299657,,,,
118.5325519,,,,
167.6763871,,,,
123.980323,,,,
79.27666708,,,,
158.748428,,,,
104.1038211,,,,
176.695211,,,,
133.960058,,,,
123.6521743,,,,
139.0811266,,,,
96.57669111,,,,
88.25185458,,,,
87.49689919,,,,
110.8280619,,,,
138.5955118,,,,
105.8466016,,,,
115.8238369,,,,
141.5218627,,,,
135.8324392,,,,
128.6054679,,,,
137.7724535,,,,
104.6049365,,,,
90.55242972,,,,
99.13604524,,,,
70.49086627,,,,
104.835346,,,,
130.8410939,,,,
109.1281663,,,,
126.0920807,,,,
124.3740887,,,,
130.7323228,,,,
128.4538852,,,,
146.731822,,,,
115.0052095,,,,
137.9882647,,,,
111.9772978,,,,
113.5671323,,,,
105.5512929,,,,
85.6618701,,,,
109.6476329,,,,
130.5563117,,,,
131.1970234,,,,
116.6348857,,,,
148.8597698,,,,
151.0027428,,,,
